fid;nama tempat;url tempat;alamat;nomor telepon;latitude;longitude;latilong;kategori gmaps;website;rating;review terbaru;status review;input direktori;modifikasi;kk;gid;bstt;luas;bsbtt;idsls;kdkab;kdkec;kdsls;nmkab;nmkec;nmsls;bstt_k;kddesa;kdprov;khusus;muatan;nmdesa;nmprov;posisi;segmen;subsls;sumber;dom_sls;periode;tingkat;idsubsls;nm_gedung;wil_campur;golden_truth
1;RKC SEAFOOD / RUMAH KEPITING CUMI BPD;https://www.google.com/maps/place/RKC+SEAFOOD+%2F+RUMAH+KEPITING+CUMI+BPD/@-1.2230313,116.8321765,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14715bea94a0b:0xac48c3994067c3ec!8m2!3d-1.2230313!4d116.8321765!16s%2Fg%2F11jvqx_pgj?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Unnamed Road, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;Nomor telepon tidak ditemukan;-1,2230313;116,8321765;-1.2230313,116.8321765;Restoran;Website tidak ditemukan;4,6;6 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;RKC SEAFOOD / RUMAH KEPITING CUMI BPD adalah usaha yang berlokasi di Unnamed Road, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125 , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
2;Mapsservis Kursi Sofa Panggilan;https://www.google.com/maps/place/Servis+kursi+sofa+panggilan/@-1.2217868,116.8321306,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1471e81b28b33:0x318aa6994be703b5!8m2!3d-1.2217868!4d116.8321306!16s%2Fg%2F11vcnfdx6k?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwOS4wIKXMDSoASAFQAw%3D%3D;Perumahan bpd, Jl. Batu Butok Jl. Gn. Empat No.rmh . 175, RT.60, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;0852-9478-2090;-1,2217868;116,8321306;-1.2217868,116.8321306;Toko Furnitur;wa.me;5,0;Tanggal ulasan tidak ditemukan;Ulasan terbaru tanpa label 'NEW';toko furniturdi balikpapan utara;28/05/2023;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;Mapsservis Kursi Sofa Panggilan adalah usaha yang berlokasi di Perumahan bpd, Jl. Batu Butok Jl. Gn. Empat No.rmh . 175, RT.60, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125 , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
3;Radja Tenda;https://www.google.com/maps/place/Radja+Tenda/@-1.2237713,116.8329828,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1475bf9d75d93:0xcc7adf401ce74b77!8m2!3d-1.2237713!4d116.8329828!16s%2Fg%2F11v9_9h821?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;QRGM+F5H, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;0813-5154-6753;-1,2237713;116,8329828;-1.2237713,116.8329828;Layanan Sewa Tenda;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;pemasok tenda di balikpapan utara;17/06/2025;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;Radja Tenda adalah usaha yang berlokasi di QRGM+F5H, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125 , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
4;DapurMomoy08;https://www.google.com/maps/place/DapurMomoy08/@-1.2236036,116.832622,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147a84417bf77:0x24a877f974a75a5e!8m2!3d-1.2236036!4d116.832622!16s%2Fg%2F11lm67_fw5?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Jl.Batu Butok, Jl. Gn. Empat masuk perumahan BPD No.99 RT.60, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;0812-7357-7306;-1,2236036;116,832622;-1.2236036,116.832622;Toko Kue;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;toko roti grosir di balikpapan utara;17/06/2025;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;DapurMomoy08 adalah usaha yang berlokasi di Jl.Batu Butok, Jl. Gn. Empat masuk perumahan BPD No.99 RT.60, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125 , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
5;Perumahan bpd;https://www.google.com/maps/place/Perumahan+bpd/@-1.222027,116.8321634,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14730fb93df05:0x9d525c9aa969a58f!8m2!3d-1.222027!4d116.8321634!16s%2Fg%2F11sc5f2r4t?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;QRFM+PP3 perumahan bpd, Jl. Batu Butok, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur;Nomor telepon tidak ditemukan;-1,222027;116,8321634;-1.222027,116.8321634;Dapur Umum;Website tidak ditemukan;5,0;sebulan lalu;Ulasan terbaru tanpa label 'NEW';dapur umum di balikpapan utara;23/06/2025;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;Perumahan bpd adalah usaha yang berlokasi di QRFM+PP3 perumahan bpd, Jl. Batu Butok, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
6;Nayla ol shop;https://www.google.com/maps/place/Nayla+ol+shop/@-1.223107,116.833381,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147002c248f33:0x3acd1a414274bb1b!8m2!3d-1.223107!4d116.833381!16s%2Fg%2F11ycsnlm9c?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;QRGM+P6M, Jl. Batu Butok, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur;Nomor telepon tidak ditemukan;-1,223107;116,833381;-1.223107,116.833381;Toko Perhiasan;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;jewelry manufacturer di balikpapan utara;23/06/2025;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;Nayla ol shop adalah usaha yang berlokasi di QRGM+P6M, Jl. Batu Butok, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
7;Makam Abah Muhammad Arsyad Bin Muhammad Yasin;https://www.google.com/maps/place/Makam+Abah+Muhammad+Arsyad+Bin+Muhammad+Yasin/@-1.2236132,116.833412,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14784b0cc9adf:0x3a35970b355eab41!8m2!3d-1.2236132!4d116.833412!16s%2Fg%2F11sgywz1d5?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;QRGM+P6M, Jl. Batu Butok No.99, RT.60, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;Nomor telepon tidak ditemukan;-1,2236132;116,833412;-1.2236132,116.833412;Pemakaman;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;pemakaman di balikpapan barat;23/06/2025;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;Makam Abah Muhammad Arsyad Bin Muhammad Yasin adalah usaha yang berlokasi di QRGM+P6M, Jl. Batu Butok No.99, RT.60, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125 , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
8;Distributor Shannen;https://www.google.com/maps/place/Distributor+Shannen/@-1.2218823,116.8325451,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147ec799cfdb1:0x2c3d33d8937598cb!8m2!3d-1.2218823!4d116.8325451!16s%2Fg%2F11h_60m85r?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;QRHM+62V, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125;0896-1581-9669;-1,2218823;116,8325451;-1.2218823,116.8325451;Toko Kosmetik;Website tidak ditemukan;5,0;5 tahun lalu;Ulasan terbaru tanpa label 'NEW';kosmetik di balikpapan utara;09/07/2025;;213737;;0,09833716;;6,47103E+13;71;30;60;BALIKPAPAN;BALIKPAPAN UTARA;RT 060;;1;64;;;MUARA RAPAK;KALIMANTAN TIMUR;;;;;;2023_1;;;;;Distributor Shannen adalah usaha yang berlokasi di QRHM+62V, Muara Rapak, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125 , Kecamatan BALIKPAPAN UTARA, BALIKPAPAN, KALIMANTAN TIMUR .
9;PT. ITCI Kartika Utama;https://www.google.com/maps/place/PT.+ITCI+Kartika+Utama/@-1.2235762,116.8099926,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147bbc568c0db:0x4ba303107647caa0!8m2!3d-1.2235762!4d116.8099926!16s%2Fg%2F11bc7nt61n?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. Letjen Suprapto No.11, Baru Ulu, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76133;(021) 5732988;-1,2235762;116,8099926;-1.2235762,116.8099926;Pemasok kayu;arsari.co.id;4,3;setahun lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge1Juni2026;17/06/2025;;213781;;0,063253487;;6,47105E+13;71;50;15;BALIKPAPAN;BALIKPAPAN BARAT;RT 15;;5;64;;;BARU ULU;KALIMANTAN TIMUR;;;;;;2023_1;;;;;PT. ITCI Kartika Utama adalah usaha yang berlokasi di Jl. Letjen Suprapto No.11, Baru Ulu, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76133 , Kecamatan BALIKPAPAN BARAT, BALIKPAPAN, KALIMANTAN TIMUR .
10;CV. FELISHA SAMUDRA JAYA;https://www.google.com/maps/place/CV.+FELISHA+SAMUDRA+JAYA/@-1.2250518,116.8098223,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147cf5cb8d0af:0xd01987f49436db1a!8m2!3d-1.2250518!4d116.8098223!16s%2Fg%2F11s7yv5vg3?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;Jl. Letjen Suprapto No.22, RT.013, Baru Ulu, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76131;Nomor telepon tidak ditemukan;-1,2250518;116,8098223;-1.2250518,116.8098223;Perusahaan Konstruksi;Website tidak ditemukan;5,0;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';kontraktor di balikpapan barat;23/06/2025;;213781;;0,063253487;;6,47105E+13;71;50;15;BALIKPAPAN;BALIKPAPAN BARAT;RT 15;;5;64;;;BARU ULU;KALIMANTAN TIMUR;;;;;;2023_1;;;;;CV. FELISHA SAMUDRA JAYA adalah usaha yang berlokasi di Jl. Letjen Suprapto No.22, RT.013, Baru Ulu, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76131 , Kecamatan BALIKPAPAN BARAT, BALIKPAPAN, KALIMANTAN TIMUR .
